Prototype,Notes,POSCAR
C,Lonsdaleite (Hexagonal Diamond) Structure,"A_hP4_194_f & a,c/a,z1 --params=2.508,1.66786283892,0.05995 & P6_3/mmc  D_{6h}^4 #194 (f) & hP4 & & C & Lonsdaleite (hexagonal diamond) & A. Yoshiasa, Y. Murai, O. Ohtaka and T. Katsura, Jpn. J. Appl. Phys. 42, 1694-1704 (2003)
   1.0000000000000000
   1.25400000000000  -2.17199171269100   0.00000000000000
   1.25400000000000   2.17199171269100   0.00000000000000
   0.00000000000000   0.00000000000000   4.18300000000000
    C
    4
Direct
   0.33333333333333   0.66666666666667   0.05994501553900    C    (4f)
   0.33333333333333   0.66666666666667   0.44005498446100    C    (4f)
   0.66666666666667   0.33333333333333  -0.05994501553900    C    (4f)
   0.66666666666667   0.33333333333333   0.55994501553900    C    (4f)"
Cr3Si,"Cr3Si (
A15
) Structure","A3B_cP8_223_c_a & a --params=4.556 & Pm(-3)n   O_h^3 #223 (ac) & cP8 & A15 & Cr3Si & & W. Jauch, A. J. Schultz and G. Heger, J. Appl. Crystallogr. 20, 117-119 (1987)
   1.0000000000000000
   4.55600000000000   0.00000000000000   0.00000000000000
   0.00000000000000   4.55600000000000   0.00000000000000
   0.00000000000000   0.00000000000000   4.55600000000000
   Cr   Si
    6    2
Direct
   0.00000000000000   0.50000000000000   0.25000000000000   Cr    (6c)
   0.00000000000000   0.50000000000000   0.75000000000000   Cr    (6c)
   0.25000000000000   0.00000000000000   0.50000000000000   Cr    (6c)
   0.50000000000000   0.25000000000000   0.00000000000000   Cr    (6c)
   0.50000000000000   0.75000000000000   0.00000000000000   Cr    (6c)
   0.75000000000000   0.00000000000000   0.50000000000000   Cr    (6c)
   0.00000000000000   0.00000000000000   0.00000000000000   Si    (2a)
   0.50000000000000   0.50000000000000   0.50000000000000   Si    (2a)"
V4Zn5,V4Zn5 Structure,"A4B5_tI18_139_i_ah & a,c/a,x2,x3 --params=8.91,0.361391694725,0.328,0.348 & I4/mmm    D_{4h}^{17} #139 (ahi) & tI18 & & V4Zn5 & & K. Schubert, H. G. Meissner, A. Raman and W. Rossteutscher, Naturwissenschaften 51, 287 (1964)
   1.0000000000000000
  -4.45500000000000   4.45500000000000   1.61000000000000
   4.45500000000000  -4.45500000000000   1.61000000000000
   4.45500000000000   4.45500000000000  -1.61000000000000
    V   Zn
    4    5
Direct
   0.00000000000000   0.34800000000000   0.34800000000000    V    (8i)
   0.00000000000000   0.65200000000000   0.65200000000000    V    (8i)
   0.34800000000000   0.00000000000000   0.34800000000000    V    (8i)
   0.65200000000000   0.00000000000000   0.65200000000000    V    (8i)
   0.00000000000000   0.00000000000000   0.00000000000000   Zn    (2a)
   0.32800000000000   0.32800000000000   0.65600000000000   Zn    (8h)
   0.32800000000000   0.67200000000000   0.00000000000000   Zn    (8h)
   0.67200000000000   0.32800000000000   0.00000000000000   Zn    (8h)
   0.67200000000000   0.67200000000000   0.34400000000000   Zn    (8h)"
Mn3O4,Hausmannite (Mn3O4) Structure,"A3B4_tI28_141_ad_h & a,c/a,y3,z3 --params=5.765,1.63781439722,0.0278,0.2589 & I4_1/amd         D_{4h}^{19} #141 (adh) & tI28 & & Mn3O4 & Hausmannite & D. Jorosch, Mineral. Petrol. 37, 15-23 (1987)
   1.0000000000000000
  -2.88250000000000   2.88250000000000   4.72100000000000
   2.88250000000000  -2.88250000000000   4.72100000000000
   2.88250000000000   2.88250000000000  -4.72100000000000
  Mn1  Mn2    O
    2    4    8
Direct
   0.12500000000000  -0.12500000000000   0.25000000000000   Mn    (4a)
  -0.12500000000000   0.12500000000000  -0.25000000000000   Mn    (4a)
   0.00000000000000   0.50000000000000   0.50000000000000   Mn    (8d)
   0.50000000000000   0.00000000000000  -0.00000000000000   Mn    (8d)
   0.50000000000000   0.50000000000000  -0.00000000000000   Mn    (8d)
   0.50000000000000   0.50000000000000   0.50000000000000   Mn    (8d)
   0.25890000000000  -0.26890000000000  -0.02780000000000    O   (16h)
  -0.25890000000000   0.26890000000000   0.02780000000000    O   (16h)
   0.25890000000000   0.28670000000000  -0.47220000000000    O   (16h)
  -0.25890000000000  -0.28670000000000   0.47220000000000    O   (16h)
   0.26890000000000  -0.25890000000000  -0.47220000000000    O   (16h)
  -0.26890000000000   0.25890000000000   0.47220000000000    O   (16h)
   0.28670000000000   0.25890000000000   0.02780000000000    O   (16h)
  -0.28670000000000  -0.25890000000000  -0.02780000000000    O   (16h)"
B5W2,"W2B5 (
D
8
h
) Structure","A5B2_hP14_194_abdf_f & a,c/a,z4,z5 --params=2.982,4.651240778,0.528,0.139 & P6_3/mmc  D_{6h}^4 #194 (abdf^2) & hP14 & D8_h & W2B5 & epsilon & R Kiessling, Acta Chem. Scand. 1, 893-916 (1947)
   1.0000000000000000
   1.49100000000000  -2.58248775408520   0.00000000000000
   1.49100000000000   2.58248775408520   0.00000000000000
   0.00000000000000   0.00000000000000  13.87000000000000
    B    W
   10    4
Direct
   0.00000000000000   0.00000000000000   0.00000000000000    B    (2a)
   0.00000000000000   0.00000000000000   0.50000000000000    B    (2a)
   0.00000000000000   0.00000000000000   0.25000000000000    B    (2b)
   0.00000000000000   0.00000000000000   0.75000000000000    B    (2b)
   0.33333333333333   0.66666666666667   0.75000000000000    B    (2d)
   0.66666666666667   0.33333333333333   0.25000000000000    B    (2d)
   0.33333333333333   0.66666666666667  -0.02800000000000    B    (4f)
   0.33333333333333   0.66666666666667   0.52800000000000    B    (4f)
   0.66666666666667   0.33333333333333   0.02800000000000    B    (4f)
   0.66666666666667   0.33333333333333   0.47200000000000    B    (4f)
   0.33333333333333   0.66666666666667   0.13900000000000    W    (4f)
   0.33333333333333   0.66666666666667   0.36100000000000    W    (4f)
   0.66666666666667   0.33333333333333  -0.13900000000000    W    (4f)
   0.66666666666667   0.33333333333333   0.63900000000000    W    (4f)"
Pb(Zr0.52Ti0.48)O3,Tetragonal PZT [Pb(ZrxTi1–x)O3] Structure,"A3BC_tP5_99_bc_a_b & a,c/a,z1,z2,z3,z4 --params=4.046,1.02308452793,0.0,0.8973,0.4517,0.3785 & P4mm      C_{4v}^1 #99 (ab^2c) & tP5 & & Pb(Zr0.52Ti0.48)O3 & Tetragonal PZT & B. Noheda et al., PRB 61, 8687-8695 (2000)
   1.0000000000000000
   4.04600000000000   0.00000000000000   0.00000000000000
   0.00000000000000   4.04600000000000   0.00000000000000
   0.00000000000000   0.00000000000000   4.13940000000000
    O   Pb   Zr
    3    1    1
Direct
   0.50000000000000   0.50000000000000  -0.10270000000000    O    (1b)
   0.00000000000000   0.50000000000000   0.37850000000000    O    (2c)
   0.50000000000000   0.00000000000000   0.37850000000000    O    (2c)
   0.00000000000000   0.00000000000000   0.00000000000000   Pb    (1a)
   0.50000000000000   0.50000000000000   0.45170000000000   Zr    (1b)"
Ga2Hf,Ga2Hf Structure,"A2B_tI24_141_2e_e & a,c/a,z1,z2,z3 --params=4.046,6.28917449333,0.125,0.289,-0.051 & I4_1/amd  D_{4h}^{19} #141 (e^3) & tI24 & & Ga2Hf & & K. Schubert et al., Naturwissenschaften 49, 57 (1962)
   1.0000000000000000
  -2.02300000000000   2.02300000000000  12.72300000000000
   2.02300000000000  -2.02300000000000  12.72300000000000
   2.02300000000000   2.02300000000000 -12.72300000000000
   Ga   Hf
    8    4
Direct
   0.37500000000000   0.12500000000000   0.25000000000000   Ga    (8e)
   0.12500000000000   0.37500000000000   0.75000000000000   Ga    (8e)
   0.62500000000000   0.87500000000000   0.75000000000000   Ga    (8e)
   0.87500000000000   0.62500000000000   0.25000000000000   Ga    (8e)
   0.53900000000000   0.28900000000000   0.25000000000000   Ga    (8e)
   0.28900000000000   0.53900000000000   0.75000000000000   Ga    (8e)
   0.46100000000000   0.71100000000000   0.75000000000000   Ga    (8e)
   0.71100000000000   0.46100000000000   0.25000000000000   Ga    (8e)
   0.19900000000000  -0.05100000000000   0.25000000000000   Hf    (8e)
  -0.05100000000000   0.19900000000000   0.75000000000000   Hf    (8e)
   0.80100000000000   0.05100000000000   0.75000000000000   Hf    (8e)
   0.05100000000000   0.80100000000000   0.25000000000000   Hf    (8e)"
O2Si,"α
–Cristobalite (SiO2,
C30
, low) Structure","A2B_tP12_92_b_a & a,c/a,x1,x2,y2,z2 --params=4.957,1.39001412144,0.3047,0.2381,0.1109,0.1826 & P4_12_12  D_4^4 #92 (ab) & tP12 & & SiO2 & alpha (low) Cristobalite & J.J. Pluth, J.V. Smith, and J. Faber, Jr., J. App. Phys. 57, 1045-1049 (1985)
   1.0000000000000000
   4.95700000000000   0.00000000000000   0.00000000000000
   0.00000000000000   4.95700000000000   0.00000000000000
   0.00000000000000   0.00000000000000   6.89030000000000
    O   Si
    8    4
Direct
   0.11090000000000   0.23810000000000   0.81740000000000    O    (8b)
   0.23810000000000   0.11090000000000   0.18260000000000    O    (8b)
   0.26190000000000   0.61090000000000   0.06740000000000    O    (8b)
   0.38910000000000   0.73810000000000   0.43260000000000    O    (8b)
   0.61090000000000   0.26190000000000   0.93260000000000    O    (8b)
   0.73810000000000   0.38910000000000   0.56740000000000    O    (8b)
   0.76190000000000   0.88910000000000   0.68260000000000    O    (8b)
   0.88910000000000   0.76190000000000   0.31740000000000    O    (8b)
   0.19530000000000   0.80470000000000   0.25000000000000   Si    (4a)
   0.30470000000000   0.30470000000000   0.00000000000000   Si    (4a)
   0.69530000000000   0.69530000000000   0.50000000000000   Si    (4a)
   0.80470000000000   0.19530000000000   0.75000000000000   Si    (4a)"
AuCu3,"Bogdanovite (Cu3Au,
L
1
2
) Structure","AB3_cP4_221_a_c & a --params=3.7402 & Pm(-3)m   O_h^1 #221 (ac) & cP4 & L1_2 & Cu3Au & & E. A. Owen and Y. H. Liu, Phil. Mag. 38, 354-360 (1947)
   1.0000000000000000
   3.74020000000000   0.00000000000000   0.00000000000000
   0.00000000000000   3.74020000000000   0.00000000000000
   0.00000000000000   0.00000000000000   3.74020000000000
   Au   Cu
    1    3
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Au    (1a)
   0.00000000000000   0.50000000000000   0.50000000000000   Cu    (3c)
   0.50000000000000   0.00000000000000   0.50000000000000   Cu    (3c)
   0.50000000000000   0.50000000000000   0.00000000000000   Cu    (3c)"
BaS3,BaS3 Structure,"AB3_oP16_18_ab_3c & a,b/a,c/a,z1,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5 --params=8.32,1.15865384615,0.579326923077,0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.5,0.124,0.309,0.382 & P2_12_12  D_2^3 #18 (abc^3) & oP16 & & BaS3 & & W. S. Miller and A.J. King, Zeitschrift f\""{u}r Kristallographie - Crystalline Materials 94, 439-446 (1936)
   1.0000000000000000
   8.32000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   9.64000000000000   0.00000000000000
   0.00000000000000   0.00000000000000   4.82000000000000
   Ba    S
    4   12
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Ba    (2a)
   0.50000000000000   0.50000000000000   0.00000000000000   Ba    (2a)
   0.00000000000000   0.50000000000000   0.00000000000000   Ba    (2b)
   0.50000000000000   0.00000000000000   0.00000000000000   Ba    (2b)
   0.25000000000000   0.25000000000000   0.00000000000000    S    (4c)
   0.25000000000000   0.75000000000000   0.00000000000000    S    (4c)
   0.75000000000000   0.25000000000000   0.00000000000000    S    (4c)
   0.75000000000000   0.75000000000000   0.00000000000000    S    (4c)
   0.25000000000000   0.00000000000000   0.50000000000000    S    (4c)
   0.25000000000000   0.50000000000000   0.50000000000000    S    (4c)
   0.75000000000000   0.00000000000000   0.50000000000000    S    (4c)
   0.75000000000000   0.50000000000000   0.50000000000000    S    (4c)
   0.12400000000000   0.30900000000000   0.38200000000000    S    (4c)
   0.37600000000000   0.80900000000000   0.61800000000000    S    (4c)
   0.62400000000000   0.19100000000000   0.61800000000000    S    (4c)
   0.87600000000000   0.69100000000000   0.38200000000000    S    (4c)"
