id,length,atomic_fraction,structure__id,structure__nsites,structure__nelement,structure__density,structure__spacegroup,structure__formula_full,structure__formula_reduced,structure__chemical_system,structure__formula_anonymous,structure__e_above_hull,structure__hostlattice__dimension,structure__matprojdata2__band_gap,structure__matprojdata2__cost_per_mol,structure__matprojdata2__cost_per_kg,structure__prototype2__name,structure__prototype2__formula_reduced,structure__prototype3__number,empiricalmeasures__dimensionality,empiricalmeasures__dimensionality_cumlengths,empiricalmeasuresb__ewald_energyb,empiricalmeasures__ionic_radii_overlap_cations,empiricalmeasures__ionic_radii_overlap_anions,relative__length,relative__barrier,vaspcalca__energy_barrier,empcorbarrier__barrier,vaspcalcb__energy_barrier
1,3.7021369999999987,0.5,mp-8455,2,2,4.9711908327097065,221,Cs1 F1,CsF,Cs-F,AB,0.10876991999999985,3.0,5.938,8213.591881643448,54070.990358176176,,CsCl,,3,3,0.16393422309774053,0.4080986486079836,-0.3467006832605559,,,1.498940619999999,0.9419184003799995,
2,4.058029248687102,0.5,mp-11718,2,2,3.6710845512958685,225,Rb1 F1,RbF,F-Rb,AB,0.0,3.0,5.6523,13247.714888083761,126813.40459267203,VN,VN,,3,3,0.7435589353446375,0.33691089629320503,0.4856852009342285,,,1.6557830100000004,1.0280248724900003,1.1759323100000074
3,4.017401721467248,0.5,mp-2175,2,2,8.090510190687073,225,Tl1 F1,TlF,F-Tl,AB,0.035856359999999476,0.0,2.3991999999999996,858.4448167652279,3842.9504510192487,VN,VN,,3,3,0.8186937041609639,0.35378843170496665,0.48706855391261117,,,0.885081409999998,0.604909694089999,-0.02838180000000534
5,4.32608635836711,0.5,mp-1784,2,2,4.406028855159092,225,Cs1 F1,CsF,Cs-F,AB,0.0,3.0,5.281,8213.591881643448,54070.990358176176,VN,VN,,3,3,0.5488207176501732,0.38123912951349803,0.5221092840100061,,,1.4981028500000022,0.9414584646500013,
4,3.556249306194379,0.5,mp-7592,2,2,6.624220955833901,225,Ag1 F1,AgF,Ag-F,AB,0.0,3.0,,56.234289242454636,443.25526059239525,VN,VN,,3,3,1.0586731880010518,0.27102497340399756,0.41607972613432764,,,0.5181350300000034,0.40345613147000187,0.2621990600000004
11,3.8353358674473346,0.5,mp-463,2,2,2.4182732829403464,225,K1 F1,KF,F-K,AB,0.0,3.0,,0.50804649171243,8.744842028970758,VN,VN,,3,3,0.8895822059972147,0.30404560471683295,0.45447433690309236,,,1.7443983300000028,1.0766746831700016,1.2977322400000162
66,3.747011,0.6666666666666666,mp-1147672,3,2,3.3292427274113243,123,Cu1 F2,CuF2,Cu-F,AB2,0.10848685666667013,0.0,0.0,0.4511901236200784,4.443348965545234,,,264.0,1,3,4.424659812597781,0.01482699359897599,0.2630753675804778,0.41421356237309503,0.2519622872999978,0.8560523999999958,0.5889727675999977,
67,3.747011,0.6666666666666666,mp-1147672,3,2,3.3292427274113243,123,Cu1 F2,CuF2,Cu-F,AB2,0.10848685666667013,0.0,0.0,0.4511901236200784,4.443348965545234,,,264.0,1,3,4.9256529282954205,-0.8161133915676113,0.3053387196273518,0.41421356237309503,1.0210709742299957,2.2569789699999916,1.3580814545299955,
95,4.48368,0.6666666666666666,mp-22885,3,2,3.8709130007164902,139,Xe1 F2,XeF2,F-Xe,AB2,0.0,0.0,2.8242999999999996,236.39731404208223,1396.4060751845484,C2Ca,CaC2,,2,3,,,,0.46158912178597733,0.5303597316299998,2.214584049999999,1.3348066434499997,
82,3.883826422073984,0.6666666666666666,mp-241,3,2,6.029135394724406,225,Cd1 F2,CdF2,Cd-F,AB2,0.0,0.0,,0.37679615364578734,2.5051635469899387,Fluorite,CaF2,,3,3,1.6263433377160368,0.27113652434924296,0.5629818715630748,0.41421356237309503,1.073245425300001,2.172607880000001,1.3117617261200007,
69,4.475789883370923,0.6666666666666666,mp-1147672,3,2,3.3292427274113243,123,Cu1 F2,CuF2,Cu-F,AB2,0.10848685666667013,0.0,0.0,0.4511901236200784,4.443348965545234,,,264.0,3,3,4.637444758116658,-0.7549227731629489,-0.0330415769842225,0.6892725309307746,0.913375384559998,2.060812139999996,1.250385864859998,
58,3.732798,0.6666666666666666,mp-1147670,3,2,2.0280481706095084,139,Cu1 F2,CuF2,Cu-F,AB2,0.10477140000000329,0.0,0.0,0.4511901236200784,4.443348965545234,,,261.0,1,2,4.523483061785612,-0.7902261404596964,0.3153589199119846,0.4142135623730949,0.6848007497999938,2.0569119599999937,1.2482446660399966,
42,4.147816253548607,0.6666666666666666,mp-981,3,2,4.133836694658421,225,Sr1 F2,SrF2,F-Sr,AB2,0.0,3.0,6.7761,0.6420727235541136,5.111360033556784,Fluorite,CaF2,,3,3,1.4283125141027426,0.29374602931254756,0.5924990646532904,0.41421356237309515,0.7783476157799941,2.6891470599999963,1.595341735939998,
9,2.97966337755123,0.5,mp-1187763,2,2,13.62815246644957,187,U1 F1,UF,F-U,AB,0.8481167530555567,3.0,0.0,,,,,599.0,2,2,,,,0.0,0.0,0.37575121999998373,0.3252874197799911,
55,2.6394867785995824,0.6666666666666666,mp-1147670,3,2,2.0280481706095084,139,Cu1 F2,CuF2,Cu-F,AB2,0.10477140000000329,0.0,0.0,0.4511901236200784,4.443348965545234,,,261.0,2,2,-0.5529054189004796,0.07917815961587693,-0.17183299026804377,0.0,0.0,0.8095517600000051,0.5634439162400028,
78,4.2407018003252706,0.6666666666666666,mp-315,3,2,7.550325952759587,225,Pb1 F2,PbF2,F-Pb,AB2,0.0,0.0,,0.48431412360863146,1.9752056761535377,Fluorite,CaF2,,3,3,1.4033578011213592,0.2869858125205953,0.6042967112285074,0.4142135623730946,0.5991164257499892,1.8617520499999927,1.141101875449996,0.8503827700000102
103,4.966995172662039,0.6666666666666666,mp-1206711,3,2,6.631336839213577,225,Sm1 F2,SmF2,F-Sm,AB2,0.3442157672222246,3.0,0.0,2.1599181230295796,11.467162589225133,Fluorite,CaF2,,3,3,2.594975054254661,-0.24506364850990714,0.5389335216101596,0.732050807568877,0.0,0.24761376999998674,0.2549399597299927,
