id,structure__id,structure__formula_reduced,structure__e_above_hull,empiricalmeasures__dimensionality,empcorbarrier__barrier,vaspcalcb__energy_barrier
40,mp-981,SrF2,0.0,3,0.8169941201600038,1.1377152099999535
41,mp-2741,CaF2,0.0,3,0.8131780046900137,1.103817079999999
28,mp-1029,BaF2,0.0,3,0.7881964843700003,1.0950812199999973
118,mp-282,TiF2,0.24847353074073641,3,1.0765520749999915,2.3225122500000452
17,mp-504731,EuF2,0.0,3,0.695706092030002,0.9123203800000965
71,mp-8177,HgF2,0.0,3,0.17969607298999976,0.08605546999999092
72,mp-8177,HgF2,0.0,3,1.034184767779999,0.633116479999984
76,mp-8177,HgF2,0.0,3,1.1244266208200009,1.0326387300000022
80,mp-241,CdF2,0.0,3,0.23851630081999964,0.1978334700000346
78,mp-315,PbF2,0.0,3,1.141101875449996,0.8503827700000102
8701,mp-1210620,LuSeF,0.01947584027777971,2,-0.052548253450026616,-0.0007637400000248817
2647,mp-758604,LiAgF2,0.05354451500000046,3,0.2461727920699938,0.0641540900000166
77,mp-315,PbF2,0.0,3,0.5419854497000067,0.8360273700000107
7889,mp-998422,CuAgF3,0.01275753900000165,3,0.3250923051799969,0.27868592999999464
26,mp-1009009,LiF,0.2875420599999998,3,0.39167541497000113,0.44730184999991707
2916,mp-559931,VF3,0.0,3,0.3610797547700041,0.6046422000000007
1231,mp-1216550,TlBiF4,0.010058501944444131,2,1.1125340840000049,0.6941096399999651
1230,mp-1216550,TlBiF4,0.010058501944444131,2,0.3808235131400035,-0.08420444000000771
1044,mp-5606,AlTlF4,0.0018438424999933645,2,0.5552907337100041,0.1366054999999733
888,mvc-16450,CaSnF4,0.04312825583333346,2,0.5177858700799913,0.2149477799999886
1103,mvc-14177,MgTiF4,0.20712361537037172,2,0.6171762316699825,0.7165646999999353
1366,mp-1220708,NaHoF4,0.0005160983333318825,2,0.6852227668399956,0.9277143000000478
1454,mp-1221036,NaErF4,0.0016846091666682383,2,0.7077309762799909,0.9241317900000467
1233,mp-1220682,NaYF4,0.0007939791666666807,2,0.6844348255699809,0.9149827899999536
1316,mp-5479,RbAlF4,0.0010009618333333137,2,0.7904789848100059,0.8798031600000513
1113,mp-556646,RbFeF4,0.016082981666661667,2,0.2296345843099981,0.036509589999923264
1046,mp-5606,AlTlF4,0.0018438424999933645,2,0.8152380338600124,0.004044690000000628
1319,mp-5479,RbAlF4,0.0010009618333333137,2,1.0071687742400068,1.4082593899998983
832,mp-5347,KAlF4,0.01737752000000281,2,1.0196111674999981,1.399772960000064
1397,mvc-3135,TiZnF4,0.346157947777777,2,0.46669120868000186,1.7206741500000362
892,mvc-16450,CaSnF4,0.04312825583333346,2,1.093058105869989,0.9540753599999334
10434,mp-3881,BaZnF4,0.0,1,0.4894445850500016,0.6977774499999896
8764,mp-1103397,BaSnF4,0.0,2,0.29211179996000675,-0.012500489999979436
