,id,structure__formula_full,structure__id,structure__e_above_hull,structure__prototype2__name,structure__prototype2__formula_reduced,vaspcalca__energy_barrier,vaspcalcb__energy_barrier,empiricalmeasures__dimensionality,empiricalmeasures__dimensionality_cumlengths
0,1052,Y2 S2 F2,mp-10086,0.0,Matlockite,PbClF,0.7326705400000151,0.18377873999997973,2,2
1,26,Li1 F1,mp-1009009,0.2875420599999998,,CsCl,0.496676530000002,0.44730184999991707,3,3
2,594,K1 Cd1 F3,mp-10175,0.02556854900000083,(Cubic) Perovskite,CaTiO3,0.5396265799999753,-1.0899949399999969,3,3
3,784,Li1 Ca1 F3,mp-1017626,0.18743932199999946,(Cubic) Perovskite,CaTiO3,0.9868169099999875,,3,3
4,1468,Zn1 N2 F4,mp-1025221,0.6804893257314304,"(La,Ba)CuO4",La2CuO4,0.31341269000000693,,2,2
5,1878,Cs2 Cu1 F4,mp-1025265,0.0,F4K2Ni,K2NiF4,0.4622708400000022,,2,2
6,1515,Tl2 Cu1 F4,mp-1025338,0.0,F4K2Ni,K2NiF4,0.32682927999999833,0.17949917000004234,2,2
7,3225,Ti1 Tl2 F6,mp-10402,0.0,F6GeK2,K2GeF6,0.8493436200000133,,0,1
8,16,Cu1 F1,mp-10634,0.34138023500000214,"Zincblende, Sphalerite",ZnS,0.5026841600000012,,3,3
9,670,Ni1 N1 F3,mp-1068795,1.3948097359366671,(Cubic) Perovskite,CaTiO3,-0.7350503700000104,,3,3
10,1254,Ti2 N2 F2,mp-1071956,0.02053907730166671,FeOCl,FeClO,0.5662102599999912,,1,1
11,1223,Al1 N1 F4,mp-1077280,0.8993567591766682,AlF4Tl,AlTlF4,0.2063160200000027,,2,2
12,4093,Na2 Fe2 F6,mp-1078217,0.00969247350000213,Post-perovskite MgSiO$_{3}$,MgSiO3,0.8333688499999994,,1,3
13,4900,Na2 Ni2 F6,mp-1078237,0.0,Post-perovskite MgSiO$_{3}$,MgSiO3,0.7648728900000492,,0,2
14,3248,Sn1 N2 F6,mp-1078294,1.1448430833466672,F6GeK2,K2GeF6,0.709219609999991,,1,3
15,1686,Ba2 Al2 Ge2 F2,mp-1078453,0.0,AgLaOS,LaAgSO,0.1983770399999969,0.4880578400000104,2,2
16,2329,Sr2 Ag2 S2 F2,mp-1078562,0.005348207499999091,AgLaOS,LaAgSO,0.5490318500000058,0.4155822299999272,2,2
17,3199,Ba2 Cd2 Sb2 F2,mp-1078693,0.0,AgLaOS,LaAgSO,0.7977907199999947,0.5048617800000557,2,2
18,2655,Sr2 Zn2 Sb2 F2,mp-1078903,0.0045794037500002105,AgLaOS,LaAgSO,0.7739090799999957,,2,2
19,4919,Rb3 Ce1 F6,mp-1078913,0.03387522974999957,Cryolite,Na3AlF6,0.991785869999994,,2,3
20,1948,Ba2 Mn2 Sb2 F2,mp-1078949,0.00858712901287273,AgLaOS,LaAgSO,0.346023109999976,0.47857034000003296,2,2
21,2791,Sr2 Mn2 P2 F2,mp-1079195,0.12276936205166589,AgLaOS,LaAgSO,0.29365837999998234,,2,2
22,1910,Ba2 Zn2 As2 F2,mp-1079320,0.0,AgLaOS,LaAgSO,0.4972220300000174,0.3865419200000133,2,2
23,4587,K2 Na1 Mn1 F6,mp-1079339,0.0,Double perovskite,Ba2MnWO6,0.4565894400000161,,0,3
24,2849,Ba2 Cd2 P2 F2,mp-1079603,0.008723443750001003,AgLaOS,LaAgSO,0.8018118300000197,,2,2
